1514176251569|-1||debug||com.p6spy.engine.common.P6SpyOptions reloading properties
12:30:51|-1||info||Using properties file: E:\Y2166\hibernate\target\classes\spy.properties
12:30:51|-1||info||No value in environment for: getStackTrace, using: false
12:30:51|-1||info||No value in environment for: getFilter, using: false
12:30:51|-1||info||No value in environment for: getInclude, using: null
12:30:51|-1||info||No value in environment for: getJNDIContextProviderURL, using: null
12:30:51|-1||info||No value in environment for: getReloadPropertiesInterval, using: -1
12:30:51|-1||info||No value in environment for: getRealDataSourceProperties, using: null
12:30:51|-1||info||No value in environment for: getUsePrefix, using: false
12:30:51|-1||info||No value in environment for: getAppender, using: com.p6spy.engine.logging.appender.StdoutLogger
12:30:51|-1||info||No value in environment for: getDateformatter, using: java.text.SimpleDateFormat@1a2dd780
12:30:51|-1||info||No value in environment for: getDateformat, using: hh:mm:ss
12:30:51|-1||info||No value in environment for: getRealdriver, using: oracle.jdbc.driver.OracleDriver
12:30:51|-1||info||No value in environment for: getStringmatcher, using: com.p6spy.engine.common.SubstringMatcher
12:30:51|-1||info||No value in environment for: getSpydriver, using: com.p6spy.engine.spy.P6SpyDriver
12:30:51|-1||info||No value in environment for: getSQLExpression, using: null
12:30:51|-1||info||No value in environment for: getAutoflush, using: false
12:30:51|-1||info||No value in environment for: getRealdriver2, using: null
12:30:51|-1||info||No value in environment for: getAppend, using: true
12:30:51|-1||info||No value in environment for: getExclude, using: users,contants
12:30:51|-1||info||No value in environment for: getRealdriver3, using: null
12:30:51|-1||info||No value in environment for: getLogfile, using: E:/spy.log
12:30:51|-1||info||No value in environment for: getRealDataSourceClass, using: null
12:30:51|-1||info||No value in environment for: getRealDataSource, using: null
12:30:51|-1||info||No value in environment for: getDeregisterDrivers, using: false
12:30:51|-1||info||No value in environment for: getJNDIContextCustom, using: null
12:30:51|-1||info||No value in environment for: getStackTraceClass, using: null
12:30:51|-1||info||No value in environment for: getExcludecategories, using: info,debug,result,batch,resultset,statement//¹ýÂË´òÓ¡µÄÓï¾ä
12:30:51|-1||info||No value in environment for: getIncludecategories, using: null
12:30:51|-1||info||No value in environment for: getStringMatcherEngine, using: com.p6spy.engine.common.SubstringMatcher@ea2410
12:30:51|-1||info||No value in environment for: getJNDIContextFactory, using: null
12:30:51|-1||info||No value in environment for: getReloadProperties, using: false
12:30:51|-1||info||No value in environment for: getExecutionThreshold, using: 0
